strategy,seed,world_mode,rounds,successful_rounds,best_tc_k,best_formula,best_pressure_gpa,elapsed_seconds
ucb+inverse,9,ambient,35,29,145.8567,Li0.52 H0.48,284.76,1.7399
ucb+inverse,10,ambient,35,32,74.5367,S0.19 Ca0.27 H0.53,36.18,1.7235
ucb+inverse,11,ambient,35,30,216.5300,Li0.50 S0.03 H0.47,283.64,1.7038
ucb+inverse,12,ambient,35,27,243.2424,S0.07 Ca0.46 H0.47,460.51,1.8712
ucb+inverse,13,ambient,35,32,148.7801,Ca0.15 Li0.36 H0.50,438.36,1.7463
ucb+inverse,14,ambient,35,30,238.5895,Li0.38 S0.17 H0.45,316.49,1.6915
ucb+inverse,15,ambient,35,31,43.1150,Ce0.12 B0.03 H0.85,165.41,1.7341
ucb+inverse,16,ambient,35,33,252.5664,Ce0.36 S0.16 H0.48,305.95,1.7540
ucb+inverse,17,ambient,35,28,144.9038,Mg0.09 Ca0.42 H0.50,362.80,1.7134
ucb+inverse,18,ambient,35,30,113.1215,S0.32 La0.39 H0.29,106.66,1.8343
ucb+inverse,19,ambient,35,33,233.1929,S0.13 Li0.40 H0.47,161.62,1.7884
ucb+inverse,20,ambient,35,30,238.9923,S0.30 Ce0.26 H0.44,208.08,1.8550
ucb+inverse,21,ambient,35,31,215.5955,S0.29 Y0.27 H0.43,253.87,1.7667
ucb+inverse,22,ambient,35,29,166.1919,S0.28 Li0.24 H0.48,206.10,1.6729
ucb+inverse,23,ambient,35,32,269.4742,La0.42 S0.09 H0.49,325.96,1.7864
ucb+inverse,24,ambient,35,32,151.5280,Li0.54 H0.46,469.71,1.8075
ucb+inverse,25,ambient,35,29,197.6192,Y0.33 S0.20 H0.48,435.29,1.6697
ucb+inverse,26,ambient,35,32,124.3411,Li0.56 H0.44,310.57,1.7334
ucb+inverse,27,ambient,35,29,42.4963,La0.19 H0.81,440.89,1.6948
ucb+inverse,28,ambient,35,31,164.7032,Li0.37 S0.22 H0.41,435.88,1.8043
ucb+inverse,29,ambient,35,29,230.7504,S0.01 Li0.50 H0.49,350.63,1.8679
ucb+inverse,30,ambient,35,31,36.7758,La0.49 H0.51,466.90,1.7691
ucb+inverse,31,ambient,35,29,312.7429,Ca0.45 S0.05 H0.49,421.68,1.7997
ucb+inverse,32,ambient,35,32,262.3105,La0.34 S0.16 H0.51,285.66,1.9260
ucb+inverse,33,ambient,35,27,143.4921,Li0.51 H0.49,104.16,1.6858
ucb+inverse,34,ambient,35,29,245.5767,Li0.36 S0.18 H0.46,428.84,1.7158
ucb+inverse,35,ambient,35,28,141.9025,Y0.15 S0.41 H0.43,479.16,1.6517
ucb+inverse,36,ambient,35,30,156.5419,Li0.51 H0.49,392.63,1.7104
ucb+inverse,37,ambient,35,30,241.1540,S0.25 Ca0.30 H0.45,321.09,1.7049
ucb+inverse,38,ambient,35,34,204.6690,Ce0.46 S0.04 H0.51,426.96,1.8134
ucb+inverse,39,ambient,35,30,247.0699,S0.16 Ce0.36 H0.48,226.39,1.7098
ucb+inverse,40,ambient,35,31,37.0068,S0.43 La0.30 H0.27,393.59,1.7023
ucb+inverse,41,ambient,35,31,205.9928,Ca0.38 S0.18 H0.44,399.83,1.6755
ucb+inverse,42,ambient,35,26,31.0065,S0.52 Ca0.05 H0.43,336.73,1.6309
ucb+inverse,43,ambient,35,30,242.9279,Ce0.26 S0.28 H0.46,134.07,1.6795
ucb+inverse,44,ambient,35,31,229.4488,S0.31 La0.22 H0.47,350.32,1.7352
ucb+inverse,45,ambient,35,27,74.5128,S0.42 La0.08 H0.50,432.26,1.6423
ucb+inverse,46,ambient,35,31,242.5679,Ca0.29 S0.24 H0.46,192.97,1.6716
ucb+inverse,47,ambient,35,27,243.2621,S0.30 Ce0.26 H0.45,474.98,1.6280
ucb+inverse,48,ambient,35,29,154.3446,Mg0.08 Li0.43 H0.49,135.91,1.6366
ucb+inverse,49,ambient,35,28,145.3273,Li0.53 Ca0.01 H0.45,354.65,1.6304
ucb+inverse,50,ambient,35,29,221.8266,S0.36 Y0.20 H0.45,410.40,1.7269
all,1,ambient,35,29,242.7165,C0.21 Li0.31 H0.48,233.26,2.0841
all,2,ambient,35,27,133.2263,Ca0.50 H0.50,431.14,2.1011
all,3,ambient,35,31,163.1088,C0.04 Li0.51 H0.45,112.67,2.1814
all,4,ambient,35,29,40.1035,La0.18 H0.82,156.13,2.2581
all,5,ambient,35,30,80.7648,Ca0.47 H0.53,467.49,2.0947
all,6,ambient,35,34,209.5828,La0.26 S0.25 H0.49,246.07,2.2060
all,7,ambient,35,33,155.2085,B0.14 Li0.36 H0.50,164.23,2.2226
all,8,ambient,35,30,156.2870,Ca0.23 Li0.27 H0.49,497.45,2.2441
all,9,ambient,35,30,145.3150,Li0.52 H0.48,284.76,2.1628
all,10,ambient,35,31,317.8911,Ca0.45 S0.04 H0.50,287.89,2.3493
all,11,ambient,35,29,96.2586,Ce0.36 S0.33 H0.31,316.09,2.1766
all,12,ambient,35,27,208.7862,Ca0.41 S0.07 H0.52,61.53,2.0761
all,13,ambient,35,30,218.1089,Li0.47 S0.09 H0.44,345.98,2.1935
all,14,ambient,35,33,268.6846,La0.34 S0.16 H0.50,161.01,2.3385
all,15,ambient,35,30,65.8545,Ce0.07 S0.43 H0.50,64.20,2.2684
all,16,ambient,35,32,228.4741,S0.24 Ca0.28 H0.47,245.09,2.2450
all,17,ambient,35,30,22.2828,Ce0.13 C0.04 H0.83,127.70,2.2382
all,18,ambient,35,31,58.3516,S0.36 La0.38 H0.27,63.78,2.2930
all,19,ambient,35,32,170.2672,S0.29 Li0.28 H0.43,105.17,2.2288
all,20,ambient,35,34,284.9956,C0.10 Ca0.40 H0.50,241.99,2.1378
all,21,ambient,35,33,141.8126,Ca0.50 H0.50,374.73,2.2898
all,22,ambient,35,30,85.5029,S0.25 Ca0.38 H0.37,384.79,2.1812
all,23,ambient,35,31,262.0460,La0.38 S0.10 H0.52,207.32,2.2074
all,24,ambient,35,29,54.8956,Li0.62 H0.38,295.19,2.1641
all,25,ambient,35,29,64.8590,Ca0.36 S0.34 H0.30,168.07,2.1615
all,26,ambient,35,30,119.3907,La0.18 S0.31 H0.51,110.91,2.1568
all,27,ambient,35,31,199.6129,Y0.18 S0.37 H0.45,280.27,2.1688
all,28,ambient,35,33,153.3243,Y0.15 Li0.35 H0.49,157.54,2.1620
all,29,ambient,35,24,143.7452,Y0.13 Li0.39 H0.48,354.74,1.9954
all,30,ambient,35,29,54.9783,B0.11 La0.04 H0.86,414.32,2.1751
all,31,ambient,35,29,227.3997,Y0.27 S0.28 H0.45,394.54,2.2570
all,32,ambient,35,29,263.0367,Ca0.42 S0.09 H0.48,370.66,2.2046
all,33,ambient,35,30,167.9626,Ca0.26 S0.24 H0.50,141.07,2.1944
all,34,ambient,35,33,141.0312,Y0.03 Ca0.48 H0.50,421.43,2.2579
all,35,ambient,35,27,145.5352,Li0.54 H0.46,121.42,2.0888
all,36,ambient,35,31,205.3557,Mg0.30 S0.26 H0.44,165.00,2.1789
all,37,ambient,35,33,262.8976,S0.01 Ca0.47 H0.52,300.15,2.1849
all,38,ambient,35,33,239.0408,Li0.36 S0.17 H0.47,42.02,2.1676
all,39,ambient,35,31,270.9627,S0.11 Ce0.40 H0.49,281.91,2.1063
all,40,ambient,35,31,137.6083,Ca0.27 Mg0.23 H0.50,286.60,2.2354
all,41,ambient,35,31,137.6598,Ca0.49 H0.51,312.70,2.3131
all,42,ambient,35,27,154.9916,Li0.19 Ca0.31 H0.50,313.39,2.1315
all,43,ambient,35,28,45.9625,Ce0.14 H0.86,102.48,2.0962
all,44,ambient,35,33,302.5317,Ca0.45 S0.05 H0.49,113.26,2.2203
all,45,ambient,35,30,223.6809,S0.22 Ca0.35 H0.43,107.46,2.1219
all,46,ambient,35,31,288.5414,Li0.43 C0.08 H0.49,102.10,2.0942
all,47,ambient,35,29,51.1360,B0.04 Ce0.13 H0.83,380.22,2.0941
all,48,ambient,35,30,155.5453,Li0.53 H0.47,202.16,2.0677
all,49,ambient,35,30,134.2618,S0.21 Ca0.51 H0.28,66.55,2.0778
all,50,ambient,35,32,44.0018,Ce0.14 H0.86,250.98,2.1737
