strategy,seed,world_mode,rounds,successful_rounds,best_tc_k,best_formula,best_pressure_gpa,elapsed_seconds
ucb,17,ambient,35,30,258.8945,Ca0.41 C0.10 H0.49,36.21,0.2945
ucb,18,ambient,35,30,46.8080,Ce0.18 H0.82,32.77,0.2944
ucb,19,ambient,35,31,135.2553,Mg0.45 Ca0.06 H0.49,12.71,0.2964
ucb,20,ambient,35,33,279.2690,S0.09 Ca0.42 H0.50,62.39,0.3022
ucb,21,ambient,35,31,249.0932,S0.29 La0.25 H0.46,426.09,0.2993
ucb,22,ambient,35,28,45.0440,Y0.01 B0.18 H0.81,378.10,0.2982
ucb,23,ambient,35,32,260.4550,La0.36 S0.12 H0.52,153.76,0.3015
ucb,24,ambient,35,33,214.3170,Li0.31 S0.22 H0.47,198.42,0.3027
ucb,25,ambient,35,29,257.3563,Ce0.39 S0.13 H0.48,344.25,0.2931
ucb,26,ambient,35,29,134.7020,Li0.50 H0.50,436.91,0.2963
ucb,27,ambient,35,31,42.4963,La0.19 H0.81,440.89,0.2950
ucb,28,ambient,35,34,215.8622,Ca0.35 S0.22 H0.43,91.25,0.2935
ucb,29,ambient,35,27,158.3603,Li0.38 Ce0.13 H0.49,476.86,0.2938
ucb,30,ambient,35,31,52.6723,Ce0.16 H0.84,318.30,0.3011
ucb,31,ambient,35,33,234.3896,Li0.40 S0.14 H0.47,210.11,0.3110
ucb,32,ambient,35,30,137.6948,S0.03 Y0.45 H0.52,295.18,0.3064
ucb,33,ambient,35,27,35.3989,Li0.06 C0.42 H0.53,93.70,0.2989
ucb,34,ambient,35,32,248.1003,Li0.36 S0.18 H0.46,428.84,0.3041
ucb,35,ambient,35,28,149.3626,Mg0.05 Li0.47 H0.47,341.63,0.3019
ucb,36,ambient,35,31,222.5966,Ca0.35 S0.19 H0.45,112.45,0.3003
ucb,37,ambient,35,32,260.7266,S0.10 Ca0.41 H0.49,355.81,0.3137
ucb,38,ambient,35,33,267.4903,S0.11 Ce0.41 H0.49,249.63,0.3042
ucb,39,ambient,35,30,247.8589,Ca0.42 S0.10 H0.48,35.91,0.3278
ucb,40,ambient,35,27,30.6003,Ce0.50 H0.50,182.43,0.3036
ucb,41,ambient,35,28,134.9409,Mg0.19 Ca0.32 H0.49,450.62,0.2936
ucb,42,ambient,35,27,150.9282,Li0.19 Ca0.31 H0.50,313.39,0.2934
ucb,43,ambient,35,27,232.5191,S0.27 Ce0.25 H0.48,493.67,0.2957
ucb,44,ambient,35,31,215.6178,La0.17 S0.37 H0.46,225.90,0.2962
ucb,45,ambient,35,29,130.7050,S0.38 Mg0.18 H0.44,361.79,0.2924
ucb,46,ambient,35,28,294.2200,Ce0.39 S0.11 H0.50,392.13,0.2923
ucb,47,ambient,35,27,116.9357,S0.25 La0.46 H0.29,452.07,0.2928
ucb,48,ambient,35,29,189.1514,Y0.44 S0.05 H0.50,51.18,0.2944
ucb,49,ambient,35,27,283.4576,Ca0.45 C0.06 H0.49,249.81,0.2949
ucb,50,ambient,35,33,217.7911,S0.20 La0.33 H0.47,236.51,0.2952
ei,1,ambient,35,33,225.8076,Li0.44 S0.12 H0.44,442.29,0.3390
ei,2,ambient,35,28,148.1144,Ca0.43 Li0.09 H0.48,376.27,0.2969
ei,3,ambient,35,34,251.4037,C0.05 Li0.47 H0.48,101.16,0.3004
ei,4,ambient,35,27,52.9578,Y0.14 H0.86,193.23,0.2946
ei,5,ambient,35,25,142.9826,Li0.50 Ca0.03 H0.46,253.70,0.2960
ei,6,ambient,35,31,237.5747,S0.33 Y0.22 H0.45,92.46,0.2997
ei,7,ambient,35,31,299.6383,Ca0.45 C0.05 H0.50,448.89,0.3005
ei,8,ambient,35,32,258.7312,C0.08 Li0.41 H0.51,306.91,0.2969
ei,9,ambient,35,32,238.0120,S0.27 Ce0.27 H0.46,79.49,0.2987
