strategy,seed,world_mode,rounds,successful_rounds,best_tc_k,best_formula,best_pressure_gpa,elapsed_seconds
ucb+inverse,2,ambient,35,28,154.4944,Li0.41 Ce0.10 H0.49,406.05,0.8940
ucb+inverse,3,ambient,35,31,252.0994,C0.05 Li0.47 H0.48,101.16,0.9472
ucb+inverse,4,ambient,35,28,40.6183,Ce0.14 H0.86,462.82,0.9116
ucb+inverse,5,ambient,35,30,247.6241,S0.10 Ca0.40 H0.50,477.82,0.9480
ucb+inverse,6,ambient,35,33,225.3350,S0.33 Y0.22 H0.45,92.46,0.9991
ucb+inverse,7,ambient,35,32,266.3953,C0.24 Li0.25 H0.51,33.06,0.9701
ucb+inverse,8,ambient,35,33,248.5738,C0.08 Li0.41 H0.51,306.91,0.9533
ucb+inverse,9,ambient,35,29,145.8567,Li0.52 H0.48,284.76,0.9136
ucb+inverse,10,ambient,35,32,74.5367,S0.19 Ca0.27 H0.53,36.18,0.9897
all,1,ambient,35,29,242.7165,C0.21 Li0.31 H0.48,233.26,1.1425
all,2,ambient,35,27,133.2263,Ca0.50 H0.50,431.14,1.1217
all,3,ambient,35,31,163.1088,C0.04 Li0.51 H0.45,112.67,1.2140
all,4,ambient,35,29,40.1035,La0.18 H0.82,156.13,1.1262
all,5,ambient,35,30,80.7648,Ca0.47 H0.53,467.49,1.1210
all,6,ambient,35,34,209.5828,La0.26 S0.25 H0.49,246.07,1.1868
all,7,ambient,35,33,155.2085,B0.14 Li0.36 H0.50,164.23,1.2105
all,8,ambient,35,30,156.2870,Ca0.23 Li0.27 H0.49,497.45,1.1810
all,9,ambient,35,30,145.3150,Li0.52 H0.48,284.76,1.1420
all,10,ambient,35,31,317.8911,Ca0.45 S0.04 H0.50,287.89,1.1191
